Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded  per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Callum Wilson,13,Newcastle-United,Forward,England,28,128,39,60,42,0.33,7,26,7,5,0,226,91,40%,5,42,0.33,0,0,0,41,0,0,47,19,48,31,0,0,0,0,0,0,0,0,0,0,12,0.09,1694,13.23,21,0.16,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,177,94
Mark Gillespie,29,Newcastle-United,Goalkeeper,England,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Dubravka,1,Newcastle-United,Goalkeeper,Slovakia,31,88,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,26,117,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2318,26.34,0,0,0,0,0,653,7.42,261,2.97,1,0.01,39,75,16,32,291,756,1,0,0,0
Karl Darlow,26,Newcastle-United,Goalkeeper,England,29,21,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,554,26.38,0,0,0,0,0,171,8.14,65,3.1,1,0.05,13,30,5,9,73,174,0,0,0,0
Daniel Langley,41,Newcastle-United,Goalkeeper,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Murphy,23,Newcastle-United,Midfielder,England,25,34,6,22,1,0.03,0,1,0,0,0,24,8,33%,0,1,0.03,0,0,0,19,63%,0,7,7,15,3,0,97,76,120,37,1.09,11,27,0,0,2,0.06,325,9.56,4,0.12,56,18%,1,11,0.32,0,0,0,0,0,0,0,0,0,0,0,0,12,1
Jonjo Shelvey,8,Newcastle-United,Midfielder,England,28,215,77,86,20,0.09,1,16,3,2,1,374,114,30%,12,17,0.08,0,0,0,261,71%,0,105,198,175,61,0,1111,573,609,135,0.63,109,101,0,3,23,0.11,8878,41.29,30,0.14,610,24%,67,976,4.54,0,0,0,0,0,0,0,0,0,0,33,4,178,12
Matt Ritchie,11,Newcastle-United,Midfielder,Scotland,31,128,38,58,11,0.09,1,1,9,1,0,206,51,25%,5,7,0.05,0,0,0,193,68%,0,76,150,173,80,0,637,507,649,58,0.45,113,211,0,1,20,0.16,4121,32.2,27,0.21,753,25%,16,222,1.73,0,0,0,0,0,0,0,0,0,0,24,0,159,8
Isaac Hayden,14,Newcastle-United,Midfielder,England,25,82,31,31,3,0.04,1,2,0,0,0,55,17,31%,0,2,0.02,0,0,0,171,56%,0,20,104,102,49,0,316,424,372,45,0.55,161,122,0,0,6,0.07,2149,26.21,9,0.11,66,24%,6,69,0.84,0,0,0,0,0,0,0,0,0,0,15,2,92,2
Miguel Almiron,24,Newcastle-United,Midfielder,Paraguay,26,48,17,18,4,0.08,0,2,2,0,0,76,25,33%,2,11,0.23,0,0,0,81,63%,0,25,39,20,8,0,256,222,205,53,1.1,11,37,0,0,3,0.06,1098,22.88,4,0.08,65,25%,3,28,0.58,0,0,0,0,0,0,0,0,0,0,5,0,37,28
Christian Atsu,30,Newcastle-United,Midfielder,Ghana,28,80,25,32,3,0.04,0,0,3,0,0,72,28,39%,0,4,0.05,0,0,0,52,77%,0,17,26,41,17,0,245,217,380,73,0.91,32,142,0,0,6,0.08,1096,13.7,12,0.15,117,19%,8,24,0.3,0,0,0,0,0,0,0,0,0,0,5,0,34,14
